time,target,sensor,P,I,D,ds
457,200,230,300.000000,-2.404267,0.000000,297.595733
458,200,230,300.000000,-2.340267,0.000000,297.659733
459,200,230,300.000000,-2.276267,0.000000,297.723733
460,200,230,300.000000,-2.212267,0.000000,297.787733
461,200,223,230.000000,-2.163200,-164.062500,63.774300
462,200,223,230.000000,-2.114133,0.000000,227.885867
463,200,223,230.000000,-2.065067,0.000000,227.934933
464,200,223,230.000000,-2.016000,0.000000,227.984000
465,200,223,230.000000,-1.966933,0.000000,228.033067
466,200,227,270.000000,-1.909333,93.750000,361.840667
467,200,227,270.000000,-1.851733,0.000000,268.148267
468,200,227,270.000000,-1.794133,0.000000,268.205867
469,200,227,270.000000,-1.736533,0.000000,268.263467
470,200,227,270.000000,-1.678933,0.000000,268.321067
471,200,230,300.000000,-1.614933,70.312500,368.697567
472,200,230,300.000000,-1.550933,0.000000,298.449067
473,200,230,300.000000,-1.486933,0.000000,298.513067
474,200,230,300.000000,-1.422933,0.000000,298.577067
475,200,230,300.000000,-1.358933,0.000000,298.641067
476,200,248,480.000000,-1.256533,421.875000,900.618467
477,200,248,480.000000,-1.154133,0.000000,478.845867
478,200,248,480.000000,-1.051733,0.000000,478.948267
479,200,248,480.000000,-0.949333,0.000000,479.050667
480,200,248,480.000000,-0.846933,0.000000,479.153067
481,200,223,230.000000,-0.797867,-585.937500,-356.735367
482,200,223,230.000000,-0.748800,0.000000,229.251200
483,200,223,230.000000,-0.699733,0.000000,229.300267
484,200,223,230.000000,-0.650667,0.000000,229.349333
485,200,223,230.000000,-0.601600,0.000000,229.398400
486,200,237,370.000000,-0.522667,328.125000,697.602333
487,200,237,370.000000,-0.443733,0.000000,369.556267
488,200,237,370.000000,-0.364800,0.000000,369.635200
489,200,237,370.000000,-0.285867,0.000000,369.714133
490,200,218,180.000000,-0.247467,-445.312500,-265.559967
491,200,218,180.000000,-0.209067,0.000000,179.790933
492,200,218,180.000000,-0.170667,0.000000,179.829333
493,200,218,180.000000,-0.132267,0.000000,179.867733
